('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
('BNS: 133.469 P_C4_2/nbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|1/2,1/2,0)'", "(4z|0,1/2,1/2)'", "(4z-1|1/2,0,1/2)'", "(2x|1/2,0,0)'", "(2y|0,1/2,0)'", "(2z|0,0,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|0,0,1/2)'", "(-1|1/2,1/2,0)'", "(-4z|0,1/2,1/2)'", "(-4z-1|1/2,0,1/2)'", "(mx|1/2,0,0)'", "(my|0,1/2,0)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 133.470 P_I4_2/nbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|1/2,1/2,1/2)'", "(4z|0,1/2,0)'", "(4z-1|1/2,0,0)'", "(2x|1/2,0,1/2)'", "(2y|0,1/2,1/2)'", "(2z|0,0,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|0,0,0)'", "(-1|1/2,1/2,1/2)'", "(-4z|0,1/2,0)'", "(-4z-1|1/2,0,0)'", "(mx|1/2,0,1/2)'", "(my|0,1/2,1/2)'", "(mz|0,0,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|0,0,0)'"])
('BNS: 134.471 P4_2/nnm         ', ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 134.472 P4_2/nnm1'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)', "(1|0,0,0)'", "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", "(2z|1/2,1/2,0)'", "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", "(mz|1/2,1/2,0)'", "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 134.473 P4_2/n'nm        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", '(2z|1/2,1/2,0)', "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', "(mz|1/2,1/2,0)'", '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 134.474 P4_2'/nn'm       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 134.475 P4_2'/nnm'       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", '(-1|0,0,0)', "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 134.476 P4_2'/n'n'm      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", "(-1|0,0,0)'", '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", "(mz|1/2,1/2,0)'", '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)'])
("BNS: 134.477 P4_2/nn'm'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", '(2z|1/2,1/2,0)', "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", '(mz|1/2,1/2,0)', "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 134.478 P4_2'/n'nm'      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', "(-1|0,0,0)'", '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', "(mz|1/2,1/2,0)'", "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
("BNS: 134.479 P4_2/n'n'm'      ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", "(mz|1/2,1/2,0)'", "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 134.480 P_c4_2/nnm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)', "(1|0,0,1/2)'", "(4z|1/2,0,0)'", "(4z-1|0,1/2,0)'", "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,1/2)'", "(-4z|1/2,0,0)'", "(-4z-1|0,1/2,0)'", "(mx|0,1/2,0)'", "(my|1/2,0,0)'", "(mz|1/2,1/2,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 134.481 P_C4_2/nnm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)', "(1|1/2,1/2,0)'", "(4z|0,1/2,1/2)'", "(4z-1|1/2,0,1/2)'", "(2x|1/2,0,1/2)'", "(2y|0,1/2,1/2)'", "(2z|0,0,0)'", "(2xy|1/2,1/2,0)'", "(2-xy|0,0,0)'", "(-1|1/2,1/2,0)'", "(-4z|0,1/2,1/2)'", "(-4z-1|1/2,0,1/2)'", "(mx|1/2,0,1/2)'", "(my|0,1/2,1/2)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|0,0,0)'"])
('BNS: 134.482 P_I4_2/nnm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,1/2)', '(2y|1/2,0,1/2)', '(2z|1/2,1/2,0)', '(2xy|0,0,0)', '(2-xy|1/2,1/2,0)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,1/2)', '(my|1/2,0,1/2)', '(mz|1/2,1/2,0)', '(mxy|0,0,0)', '(m-xy|1/2,1/2,0)', "(1|1/2,1/2,1/2)'", "(4z|0,1/2,0)'", "(4z-1|1/2,0,0)'", "(2x|1/2,0,0)'", "(2y|0,1/2,0)'", "(2z|0,0,1/2)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|0,0,1/2)'", "(-1|1/2,1/2,1/2)'", "(-4z|0,1/2,0)'", "(-4z-1|1/2,0,0)'", "(mx|1/2,0,0)'", "(my|0,1/2,0)'", "(mz|0,0,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 135.483 P4_2/mbc         ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 135.484 P4_2/mbc1'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|0,0,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 135.485 P4_2/m'bc        ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(mz|0,0,0)'", '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 135.486 P4_2'/mb'c       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 135.487 P4_2'/mbc'       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 135.488 P4_2'/m'b'c      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|0,0,0)'", '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 135.489 P4_2/mb'c'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", '(mz|0,0,0)', "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 135.490 P4_2'/m'bc'      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 135.491 P4_2/m'b'c'      ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 135.492 P_c4_2/mbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|0,0,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'", "(-1|0,0,1/2)'", "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|0,0,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 135.493 P_C4_2/mbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|1/2,1/2,0)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|1/2,1/2,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|1/2,1/2,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 135.494 P_I4_2/mbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,0)'", "(-4z-1|1/2,1/2,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mz|1/2,1/2,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 136.495 P4_2/mnm         ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 136.496 P4_2/mnm1'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 136.497 P4_2/m'nm        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', "(mz|0,0,0)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 136.498 P4_2'/mn'm       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 136.499 P4_2'/mnm'       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", '(-1|0,0,0)', "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mz|0,0,0)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 136.500 P4_2'/m'n'm      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|0,0,0)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 136.501 P4_2/mn'm'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", '(-1|0,0,0)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", '(mz|0,0,0)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 136.502 P4_2'/m'nm'      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(-1|0,0,0)'", '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 136.503 P4_2/m'n'm'      ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(-1|0,0,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 136.504 P_c4_2/mnm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|0,0,1/2)'", "(-4z|1/2,1/2,0)'", "(-4z-1|1/2,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
